"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 04:17:55 UTC 2024","Fri Mar 01 04:18:15 UTC 2024","20659","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Mar 01 03:22:39 UTC 2024","Fri Mar 01 03:22:42 UTC 2024","2911","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Mar 01 03:16:38 UTC 2024","Fri Mar 01 03:16:52 UTC 2024","14659","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Fri Mar 01 03:29:07 UTC 2024","Fri Mar 01 03:29:08 UTC 2024","1477","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Fri Mar 01 03:41:37 UTC 2024","Fri Mar 01 03:41:38 UTC 2024","339","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Fri Mar 01 03:47:06 UTC 2024","Fri Mar 01 03:48:21 UTC 2024","74279","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Fri Mar 01 02:33:43 UTC 2024","Fri Mar 01 02:33:48 UTC 2024","4581","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","7. Review Review Page",""
"passed","Fri Mar 01 03:32:44 UTC 2024","Fri Mar 01 03:36:54 UTC 2024","250585","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Mar 01 02:28:06 UTC 2024","Fri Mar 01 02:28:12 UTC 2024","5618","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Mar 01 03:41:31 UTC 2024","Fri Mar 01 03:41:37 UTC 2024","6110","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Mar 01 02:50:34 UTC 2024","Fri Mar 01 02:50:54 UTC 2024","19169","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Mar 01 02:50:27 UTC 2024","Fri Mar 01 02:50:34 UTC 2024","7837","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Mar 01 03:12:32 UTC 2024","Fri Mar 01 03:12:33 UTC 2024","790","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Fri Mar 01 02:24:28 UTC 2024","Fri Mar 01 02:24:53 UTC 2024","24598","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
